species,latitude,longitude,country,year,dataset,basisOfRecord
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,Unknown,2016,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor tibetana Milne-Edwards, 1874",No Coordinates,No Coordinates,Unknown,2016,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2016,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2016,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2016,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2016,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2016,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2016,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2016,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",51.23978,7.110729,Germany,2016,Unknown,HUMAN_OBSERVATION
"Budorcas taxicolor whitei Lydekker, 1907",27.845135,89.793698,Bhutan,2016,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas taxicolor Hodgson, 1850",27.469288,89.639687,Bhutan,2015,Unknown,HUMAN_OBSERVATION
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,Unknown,2015,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor whitei Lydekker, 1907",27.521349,89.888569,Bhutan,2014,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,Unknown,2014,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,Unknown,2014,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor Hodgson, 1850",35.078382,-106.663485,United States of America,2013,Unknown,PRESERVED_SPECIMEN
"Budorcas taxicolor whitei Lydekker, 1907",27.777279,89.728523,Bhutan,2013,Unknown,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.594263,104.729404,China,2013,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.599819,104.798771,China,2013,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas tibetana (Milne-Edwards, 1874)",32.54432,104.83535,China,2013,iNaturalist research-grade observations,HUMAN_OBSERVATION
"Budorcas taxicolor Hodgson, 1850",No Coordinates,No Coordinates,China,2013,Unknown,PRESERVED_SPECIMEN
BOLD:ABU6903,38.073254,104.69114,China,2012,Unknown,MATERIAL_SAMPLE
BOLD:ABU6903,38.073254,104.69114,China,2012,Unknown,MATERIAL_SAMPLE
